"agency","city","state","ntd_id","organization_type","reporter_type","report_year","uace_code","uza_name","primary_uza_population","agency_voms","fund_expenditure_type","fares_and_other_directly","fares_and_other_directly_1","taxes_fees_levied_by_transit","taxes_fees_levied_by_transit_1","local","local_questionable","state_1","state_questionable","federal","federal_questionable","total","total_questionable"
"Lassen Transit Service Agency","Susanville","CA","91098","Independent Public Agency or Authority of Transit Service","Rural Reporter","2024",,,,"5","Funds Expended on Capital","0",,"0",,"0",,"0",,"0",,"0",
"Lassen Transit Service Agency","Susanville","CA","91098","Independent Public Agency or Authority of Transit Service","Rural Reporter","2024",,,,"5","Funds Expended on Operations","160127",,"0",,"489006",,"370687",,"290840",,"1310660",
"White Pine County","Ely","NV","91099","City, County or Local Government Unit or Department of Transportation","Rural Reporter","2024",,,,"4","Funds Expended on Capital","0",,"0",,"0",,"0",,"0",,"0",
"White Pine County","Ely","NV","91099","City, County or Local Government Unit or Department of Transportation","Rural Reporter","2024",,,,"4","Funds Expended on Operations","5733",,"0",,"78524",,"0",,"124035",,"208292",
"Southern Nevada Transit Coalition","Laughlin","NV","91100","Private-Non-Profit Corporation","Rural Reporter","2024",,,,"5","Funds Expended on Operations","27754",,"0",,"215286",,"0",,"585979",,"829019",
"Southern Nevada Transit Coalition","Laughlin","NV","91100","Private-Non-Profit Corporation","Rural Reporter","2024",,,,"5","Funds Expended on Capital","0",,"0",,"448",,"0",,"1790",,"2238",
"Town of Truckee, dba: Truckee TART","Truckee","CA","91101","City, County or Local Government Unit or Department of Transportation","Rural Reporter","2024",,,,"6","Funds Expended on Capital","0",,"0",,"0",,"0",,"0",,"0",
"Town of Truckee, dba: Truckee TART","Truckee","CA","91101","City, County or Local Government Unit or Department of Transportation","Rural Reporter","2024",,,,"6","Funds Expended on Operations","1610",,"0",,"52470",,"989359",,"341306",,"1384745",
"Churchill County","Fallon","NV","91103","City, County or Local Government Unit or Department of Transportation","Rural Reporter","2024",,,,"4","Funds Expended on Capital","0",,"0",,"0",,"0",,"0",,"0",
"Churchill County","Fallon","NV","91103","City, County or Local Government Unit or Department of Transportation","Rural Reporter","2024",,,,"4","Funds Expended on Operations","14088",,"0",,"87733",,"0",,"306366",,"408187",
"City of Maricopa, dba: Maricopa Express Transit","Maricopa","AZ","91106","City, County or Local Government Unit or Department of Transportation","Reduced Reporter","2024","54477","Maricopa, AZ","57771","6","Funds Expended on Operations","4359",,"0",,"117706",,"0",,"211815",,"333880",
"City of Maricopa, dba: Maricopa Express Transit","Maricopa","AZ","91106","City, County or Local Government Unit or Department of Transportation","Reduced Reporter","2024","54477","Maricopa, AZ","57771","6","Funds Expended on Capital","0",,"0",,"0",,"0",,"0",,"0",
"Southern Nevada Transit Coalition","Laughlin","NV","91107","Private-Non-Profit Corporation","Rural Reporter","2024",,,,"6","Funds Expended on Capital","0",,"0",,"1290",,"0",,"5159",,"6449",
"Southern Nevada Transit Coalition","Laughlin","NV","91107","Private-Non-Profit Corporation","Rural Reporter","2024",,,,"6","Funds Expended on Operations","58349",,"0",,"255332",,"0",,"620696",,"934377",
"City of McFarland, dba: McFarland City Transit Bus","Mcfarland","CA","91110","City, County or Local Government Unit or Department of Transportation","Rural Reporter","2024",,,,"1","Funds Expended on Capital","0",,"0",,"0",,"0",,"0",,"0",
"City of McFarland, dba: McFarland City Transit Bus","Mcfarland","CA","91110","City, County or Local Government Unit or Department of Transportation","Rural Reporter","2024",,,,"1","Funds Expended on Operations","0",,"0",,"71402",,"0",,"53356",,"124758",
"City of California City","California City","CA","91111","City, County or Local Government Unit or Department of Transportation","Rural Reporter","2024",,,,"2","Funds Expended on Operations","9939",,"0",,"125697",,"0",,"124431",,"260067",
"City of California City","California City","CA","91111","City, County or Local Government Unit or Department of Transportation","Rural Reporter","2024",,,,"2","Funds Expended on Capital","0",,"0",,"0",,"0",,"0",,"0",
"County of Colusa, dba: Colusa County Transit Agency","Colusa","CA","91112","City, County or Local Government Unit or Department of Transportation","Rural Reporter","2024",,,,"7","Funds Expended on Capital","0",,"0",,"0",,"0",,"0",,"0",
"County of Colusa, dba: Colusa County Transit Agency","Colusa","CA","91112","City, County or Local Government Unit or Department of Transportation","Rural Reporter","2024",,,,"7","Funds Expended on Operations","68173",,"0",,"593460",,"369862",,"175521",,"1207016",
"Lyon County","Yerington","NV","91113","City, County or Local Government Unit or Department of Transportation","Rural Reporter","2024",,,,"11","Funds Expended on Capital","0",,"0",,"0",,"0",,"0",,"0",
"Lyon County","Yerington","NV","91113","City, County or Local Government Unit or Department of Transportation","Rural Reporter","2024",,,,"11","Funds Expended on Operations","0",,"0",,"97472",,"0",,"150440",,"247912",
"City of Benson, dba: Benson Area Transit","Benson","AZ","91114","City, County or Local Government Unit or Department of Transportation","Rural Reporter","2024",,,,"3","Funds Expended on Operations","819",,"0",,"88880",,"0",,"168617",,"258316",
"City of Benson, dba: Benson Area Transit","Benson","AZ","91114","City, County or Local Government Unit or Department of Transportation","Rural Reporter","2024",,,,"3","Funds Expended on Capital","0",,"0",,"0",,"0",,"0",,"0",
"County of Alpine","Markleeville","CA","91116","City, County or Local Government Unit or Department of Transportation","Rural Reporter","2024",,,,"1","Funds Expended on Operations","4125",,"0",,"3079",,"2510",,"75524",,"85238",
"County of Alpine","Markleeville","CA","91116","City, County or Local Government Unit or Department of Transportation","Rural Reporter","2024",,,,"1","Funds Expended on Capital","0",,"0",,"0",,"0",,"0",,"0",
"Plumas County Transportation Commission","Quincy","CA","91119","Independent Public Agency or Authority of Transit Service","Rural Reporter","2024",,,,"6","Funds Expended on Capital","0",,"0",,"0",,"0",,"0",,"0",
"Plumas County Transportation Commission","Quincy","CA","91119","Independent Public Agency or Authority of Transit Service","Rural Reporter","2024",,,,"6","Funds Expended on Operations","74658",,"0",,"188811",,"172768",,"617490",,"1053727",
"City of Shafter, dba: Shafter Dial-A-Ride","Shafter","CA","91120","City, County or Local Government Unit or Department of Transportation","Rural Reporter","2024",,,,"2","Funds Expended on Capital","0",,"0",,"0",,"0",,"0",,"0",
"City of Shafter, dba: Shafter Dial-A-Ride","Shafter","CA","91120","City, County or Local Government Unit or Department of Transportation","Rural Reporter","2024",,,,"2","Funds Expended on Operations","27079",,"0",,"19383",,"452156",,"141168",,"639786",
"City of Bisbee, dba: City of Bisbee/ Bisbee Bus","Bisbee","AZ","91121","City, County or Local Government Unit or Department of Transportation","Rural Reporter","2024",,,,"3","Funds Expended on Capital","0",,"0",,"3651",,"0",,"32862",,"36513",
"City of Bisbee, dba: City of Bisbee/ Bisbee Bus","Bisbee","AZ","91121","City, County or Local Government Unit or Department of Transportation","Rural Reporter","2024",,,,"3","Funds Expended on Operations","11537",,"0",,"119977",,"0",,"174390",,"305904",
"Regional Transportation Authority of Pima County","Tucson","AZ","91122","Independent Public Agency or Authority of Transit Service","Full Reporter","2024","88732","Tucson, AZ","875441","58","Funds Expended on Capital","0",,"0",,"219484",,"0",,"622617",,"842101",
"Regional Transportation Authority of Pima County","Tucson","AZ","91122","Independent Public Agency or Authority of Transit Service","Full Reporter","2024","88732","Tucson, AZ","875441","58","Funds Expended on Operations","0",,"0",,"8503300",,"0",,"1393512",,"9896812",
"Cocopah Indian Tribe","Somerton","AZ","99250","Tribe","Reduced Reporter","2024","00004","Arizona Non-UZA","1296856",,"Funds Expended on Operations","0",,"0",,"398489",,"0",,"88624",,"487113",
"Cocopah Indian Tribe","Somerton","AZ","99250","Tribe","Reduced Reporter","2024","00004","Arizona Non-UZA","1296856",,"Funds Expended on Capital","0",,"0",,"0",,"0",,"0",,"0",
"Yurok Tribe, dba: Tribe Yurok","Klamath","CA","99262","Tribe","Reduced Reporter","2024","00006","California Non-UZA","4357850","6","Funds Expended on Operations","0",,"0",,"0",,"0",,"520251",,"520251",
"Yurok Tribe, dba: Tribe Yurok","Klamath","CA","99262","Tribe","Reduced Reporter","2024","00006","California Non-UZA","4357850","6","Funds Expended on Capital","0",,"0",,"0",,"0",,"61836",,"61836",
"Bishop Paiute Tribe","Bishop","CA","99268","Tribe","Reduced Reporter","2024","00006","California Non-UZA","4357850",,"Funds Expended on Capital","0",,"0",,"0",,"0",,"0",,"0",
"Bishop Paiute Tribe","Bishop","CA","99268","Tribe","Reduced Reporter","2024","00006","California Non-UZA","4357850",,"Funds Expended on Operations","0",,"0",,"0",,"0",,"5670",,"5670",
"San Carlos Apache Tribe","San Carlos","AZ","99286","Tribe","Reduced Reporter","2024","00004","Arizona Non-UZA","1296856","10","Funds Expended on Capital","0",,"0",,"0",,"0",,"320000",,"320000",
"San Carlos Apache Tribe","San Carlos","AZ","99286","Tribe","Reduced Reporter","2024","00004","Arizona Non-UZA","1296856","10","Funds Expended on Operations","84456",,"0",,"341562",,"0",,"1360112",,"1786130",
"Blue Lake Rancheria, dba: Blue Lake Rancheria Transit System","Blue Lake","CA","99292","Tribe","Reduced Reporter","2024","00006","California Non-UZA","4357850",,"Funds Expended on Capital","0",,"0",,"0",,"0",,"0",,"0",
"Blue Lake Rancheria, dba: Blue Lake Rancheria Transit System","Blue Lake","CA","99292","Tribe","Reduced Reporter","2024","00006","California Non-UZA","4357850",,"Funds Expended on Operations","0",,"0",,"0",,"0",,"21700",,"21700",
"Quechan Indian Tribe","Winterhaven","CA","99310","Tribe","Reduced Reporter","2024","00004","Arizona Non-UZA","1296856",,"Funds Expended on Capital","0",,"0",,"0",,"0",,"0",,"0",
"Quechan Indian Tribe","Winterhaven","CA","99310","Tribe","Reduced Reporter","2024","00004","Arizona Non-UZA","1296856",,"Funds Expended on Operations","0",,"0",,"0",,"0",,"387357",,"387357",
"Chemehuevi Indian Tribe","Havasu Lake","CA","99316","Tribe","Reduced Reporter","2024","00006","California Non-UZA","4357850","2","Funds Expended on Capital","0",,"0",,"24541",,"0",,"0",,"24541",
"Chemehuevi Indian Tribe","Havasu Lake","CA","99316","Tribe","Reduced Reporter","2024","00006","California Non-UZA","4357850","2","Funds Expended on Operations","619634",,"0",,"560431",,"0",,"0",,"1180065",
"Fallon Paiute-Shoshone Tribe","Fallon","NV","99322","Tribe","Reduced Reporter","2024","00032","Nevada Non-UZA","399654","2","Funds Expended on Capital","0",,"0",,"0",,"0",,"0",,"0",
"Fallon Paiute-Shoshone Tribe","Fallon","NV","99322","Tribe","Reduced Reporter","2024","00032","Nevada Non-UZA","399654","2","Funds Expended on Operations","0",,"0",,"0",,"0",,"167633",,"167633",
"Yavapai-Apache Nation, dba: YAN Transit","Camp Verde","AZ","99328","Tribe","Reduced Reporter","2024","00004","Arizona Non-UZA","1296856","9","Funds Expended on Capital","0",,"0",,"0",,"0",,"0",,"0",
"Yavapai-Apache Nation, dba: YAN Transit","Camp Verde","AZ","99328","Tribe","Reduced Reporter","2024","00004","Arizona Non-UZA","1296856","9","Funds Expended on Operations","15054",,"0",,"0",,"0",,"571706",,"586760",
"White Mountain Apache Tribe","Whiteriver","AZ","99334","Tribe","Reduced Reporter","2024","00004","Arizona Non-UZA","1296856","5","Funds Expended on Capital","0",,"0",,"0",,"0",,"0",,"0",
"White Mountain Apache Tribe","Whiteriver","AZ","99334","Tribe","Reduced Reporter","2024","00004","Arizona Non-UZA","1296856","5","Funds Expended on Operations","0",,"0",,"0",,"0",,"413443",,"413443",
"Kaibab Band of Paiute Indians","Fredonia","AZ","99340","Tribe","Reduced Reporter","2024","00004","Arizona Non-UZA","1296856","9","Funds Expended on Capital","0",,"0",,"0",,"0",,"0",,"0",
"Kaibab Band of Paiute Indians","Fredonia","AZ","99340","Tribe","Reduced Reporter","2024","00004","Arizona Non-UZA","1296856","9","Funds Expended on Operations","0",,"0",,"0",,"0",,"237751",,"237751",
"Pascua Yaqui Tribe","Tucson","AZ","99352","Tribe","Reduced Reporter","2024","00004","Arizona Non-UZA","1296856",,"Funds Expended on Capital","0",,"0",,"0",,"0",,"0",,"0",
"Pascua Yaqui Tribe","Tucson","AZ","99352","Tribe","Reduced Reporter","2024","00004","Arizona Non-UZA","1296856",,"Funds Expended on Operations","0",,"0",,"31761",,"0",,"466318",,"498079",
"Morongo Band of Mission Indians, dba: Morongo Dial- A-Ride","Banning","CA","99358","Tribe","Reduced Reporter","2024","00006","California Non-UZA","4357850","1","Funds Expended on Capital","0",,"0",,"0",,"0",,"0",,"0",
"Morongo Band of Mission Indians, dba: Morongo Dial- A-Ride","Banning","CA","99358","Tribe","Reduced Reporter","2024","00006","California Non-UZA","4357850","1","Funds Expended on Operations","1469",,"0",,"7305",,"0",,"30842",,"39616",
"North Fork Rancheria of Mono Indians of California, dba: NFR Tranportation","North Fork","CA","99364","Tribe","Reduced Reporter","2024","00006","California Non-UZA","4357850","2","Funds Expended on Capital","0",,"0",,"0",,"0",,"0",,"0",
"North Fork Rancheria of Mono Indians of California, dba: NFR Tranportation","North Fork","CA","99364","Tribe","Reduced Reporter","2024","00006","California Non-UZA","4357850","2","Funds Expended on Operations","0",,"0",,"0",,"0",,"56572",,"56572",
"Tule River Tribe, dba: Tule River Indian Tribe","Porterville","CA","99370","Tribe","Reduced Reporter","2024","00006","California Non-UZA","4357850",,"Funds Expended on Capital","0",,"0",,"0",,"0",,"0",,"0",
