"agency","city","state","ntd_id","organization_type","reporter_type","report_year","uace_code","uza_name","primary_uza_population","agency_voms","fares","fares_questionable","park_and_ride","park_and_ride_questionable","concessions","concessions_questionable","advertising","advertising_questionable","other","other_questionable","purchased_transportation","purchased_transportation_1","total","total_questionable"
"Cheyenne River Sioux Tribe","Eagle Butte","SD","88158","Tribe","Reduced Reporter","2024","00046","South Dakota Non-UZA","599629","11","27051",,,,,,,,"0",,"0",,"27051",
"Chippewa Cree Tribe","Box Elder","MT","88164","Tribe","Reduced Reporter","2024","00030","Montana Non-UZA","688772","3","0",,,,,,,,"0",,"0",,"0",
"Fort Belknap Indian Community, dba: Fort Belknap Transit","Harlem","MT","88170","Tribe","Reduced Reporter","2024","00030","Montana Non-UZA","688772","2","0",,,,,,,,,,,,"0",
"Lower Brule Sioux Tribe, dba: Red Tail Express","Lower Brule","SD","88176","Tribe","Reduced Reporter","2024","00046","South Dakota Non-UZA","599629","4","3905",,,,,,,,"0",,"0",,"3905",
"Rosebud Sioux Tribe, dba: RST Transit Services","Rosebud","SD","88182","Tribe","Reduced Reporter","2024","00046","South Dakota Non-UZA","599629","13","98658",,,,,,,,"0",,"0",,"98658",
"Crow Tribe of Indians, dba: Crow Nation Transit","Crow Agency","MT","88188","Tribe","Reduced Reporter","2024","00030","Montana Non-UZA","688772","4","12805",,,,,,,,"0",,"0",,"12805",
"Yankton Sioux Tribe","Wagner","SD","88194","Tribe","Reduced Reporter","2024","00046","South Dakota Non-UZA","599629","5","2180",,,,,,,,,,,,"2180",
"Ute Tribe, dba: Ute Tribe Transit","Fort Duchesne","UT","88200","Tribe","Reduced Reporter","2024","00049","Utah Non-UZA","647581","6","874",,,,,,,,"0",,"0",,"874",
"Sisseton-Wahpeton Oyate","Agency Village","SD","88201","Tribe","Reduced Reporter","2024","00046","South Dakota Non-UZA","599629","4","38066",,,,,,,,"0",,"0",,"38066",
"Montrose County Senior Citizens Transportation, Inc., dba: All Points Transit","Montrose","CO","88215","Private-Non-Profit Corporation","Rural Reporter","2024",,,,"34","382453",,,,,,,,"99856",,"0",,"482309",
"City of Dillon","Dillon","MT","88216","City, County or Local Government Unit or Department of Transportation","Rural Reporter","2024",,,,"2","0",,,,,,,,,,,,"0",
"Fallon County, dba: Fallon County Transportation System","Baker","MT","88217","City, County or Local Government Unit or Department of Transportation","Rural Reporter","2024",,,,"4","6782",,,,,,,,,,,,"6782",
"Powell County, dba: Powell County Public Transit","Deer Lodge","MT","88218","City, County or Local Government Unit or Department of Transportation","Rural Reporter","2024",,,,"4","21304",,,,,,,,"0",,,,"21304",
"Powell Senior Citizens A-Go Go, Inc., dba: Powell Senior Center","Powell","WY","88219","Private-Non-Profit Corporation","Rural Reporter","2024",,,,"3","8594",,,,,,,,,,,,"8594",
"Wildrose Public Transportation","Crosby","ND","88222","Private-Non-Profit Corporation","Rural Reporter","2024",,,,"3","13699",,,,,,,,"2680",,,,"16379",
"Washakie County Senior Citizens Center, dba: Worland Van-Go Public Transportation","Worland","WY","88224","Private-Non-Profit Corporation","Rural Reporter","2024",,,,"5","14677",,,,,,,,"0",,,,"14677",
"Town of Winter Park, dba: The Lift","Winter Park","CO","88225","City, County or Local Government Unit or Department of Transportation","Rural Reporter","2024",,,,"27","0",,,,,,,,"0",,"0",,"0",
"Town of Telluride, dba: Galloping Goose","Telluride","CO","88226","City, County or Local Government Unit or Department of Transportation","Rural Reporter","2024",,,,"2","0",,,,,,,,"2454",,"0",,"2454",
"Town of Avon, dba: Avon Transit","Avon","CO","88228","City, County or Local Government Unit or Department of Transportation","Rural Reporter","2024",,,,"8","0",,,,,,,,"149793",,"0",,"149793",
"Teller Senior Coalition, dba: TSC Transit","Divide","CO","88230","Private-Non-Profit Corporation","Rural Reporter","2024",,,,"13","266121",,,,,,,,"11827",,,,"277948",
"High Valley Transit District","Park City","UT","88239","Independent Public Agency or Authority of Transit Service","Rural Reporter","2024",,,,"44","0",,,,,,,,"0",,"0",,"0",
"Town of Estes Park, dba: The Peak","Estes Park","CO","88281","City, County or Local Government Unit or Department of Transportation","Rural Reporter","2024",,,,"6","0",,,,,,,,"21100",,,,"21100",
"Disability Services, Inc., dba: Envida","Colorado Springs","CO","88288","Private-Non-Profit Corporation","Reduced Reporter","2024","18856","Colorado Springs, CO","632494","22","0",,,,,,,,"62588",,"0",,"62588",
"Park County, dba: Windrider Transit","Livingston","MT","88293","City, County or Local Government Unit or Department of Transportation","Rural Reporter","2024",,,,"2","0",,,,,,,,"45147",,,,"45147",
"San Miguel Authority for Regional Transportation, dba: SMART","Telluride","CO","88294","Independent Public Agency or Authority of Transit Service","Rural Reporter","2024",,,,"16","68783",,,,,,,,"0",,"0",,"68783",
"Butte Silver Bow County Council on Aging, dba: Belmont Senior Center","Butte","MT","88296","Private-Non-Profit Corporation","Rural Reporter","2024",,,,"2","0",,,,,,,,,,,,"0",
"Community Transit of Watertown/Sisseton, Inc.","Watertown","SD","88297","Private-Non-Profit Corporation","Rural Reporter","2024",,,,"58","502707",,,,,,,,"413094",,,,"915801",
"Town of Vail, dba: Vail Transit","Vail","CO","88298","City, County or Local Government Unit or Department of Transportation","Rural Reporter","2024",,,,"27","0",,,,,,,,"0",,"0",,"0",
"Clear Creek County, dba: RoundAbout","Georgetown","CO","88299","City, County or Local Government Unit or Department of Transportation","Rural Reporter","2024",,,,"3","0",,,,,,,,"0",,"0",,"0",
"Red Lodge Area Community Foundation, dba: Carbon County Area Ride & Transit","Red Lodge","MT","88303","Private-Non-Profit Corporation","Rural Reporter","2024",,,,"2","3419",,,,,,,,"0",,,,"3419",
"Eagle Valley Transportation Authority, dba: Core Transit","Gypsum","CO","88305","Independent Public Agency or Authority of Transit Service","Rural Reporter","2024",,,,"0","0",,,,,,,,"0",,"0",,"0",
"Regional Transportation Commission of Washoe County","Reno","NV","90001","Independent Public Agency or Authority of Transit Service","Full Reporter","2024","74179","Reno, NV--CA","446529","449","8306164",,,,,,"135780",,"0",,,,"8441944",
"City and County of Honolulu","Honolulu","HI","90002","City, County or Local Government Unit or Department of Transportation","Full Reporter","2024","39889","Honolulu, HI","853252","715","48789551",,,,,,"123096",,"0",,,,"48912647",
"San Francisco Bay Area Rapid Transit District, dba: SF BART","Oakland","CA","90003","Independent Public Agency or Authority of Transit Service","Full Reporter","2024","78904","San Francisco--Oakland, CA","3515933","582","218988017",,"17016032",,"26718",,"2299431",,"0",,,,"238330198",
"Golden Empire Transit District","Bakersfield","CA","90004","Independent Public Agency or Authority of Transit Service","Full Reporter","2024","04681","Bakersfield, CA","570235","93","4351720",,,,"5279",,"784097",,"0",,,,"5141096",
"Navajo Nation","Fort Defiance","AZ","90005","Tribe","Reduced Reporter","2024","00004","Arizona Non-UZA","1296856","18","0",,,,,,,,,,,,"0",
"Santa Cruz Metropolitan Transit District","Santa Cruz","CA","90006","Independent Public Agency or Authority of Transit Service","Full Reporter","2024","79336","Santa Cruz, CA","169038","97","9172032",,"25129",,"695",,"145096",,"0",,,,"9342952",
"City of Santa Monica, dba: Big Blue Bus","Santa Monica","CA","90008","City, County or Local Government Unit or Department of Transportation","Full Reporter","2024","51445","Los Angeles--Long Beach--Anaheim, CA","12237376","162","6429825",,,,,,"3750000",,"0",,,,"10179825",
"San Mateo County Transit District, dba: SamTrans","San Carlos","CA","90009","Independent Public Agency or Authority of Transit Service","Full Reporter","2024","78904","San Francisco--Oakland, CA","3515933","361","12728173",,"44551",,,,"1041751",,"0",,,,"13814475",
"City of Torrance, dba: Torrance Transit System","Torrance","CA","90010","City, County or Local Government Unit or Department of Transportation","Full Reporter","2024","51445","Los Angeles--Long Beach--Anaheim, CA","12237376","74","1193421",,,,,,"315",,"0",,,,"1193736",
"Reno-Sparks Indian Colony, dba: Reno Sparks Indian Colony","Reno","NV","90011","Tribe","Reduced Reporter","2024","74179","Reno, NV--CA","446529","2","0",,,,,,,,"0",,"0",,"0",
"San Joaquin Regional Transit District, dba: San Joaquin RTD","Stockton","CA","90012","Independent Public Agency or Authority of Transit Service","Full Reporter","2024","85087","Stockton, CA","414847","105","2746575",,,,,,"106632",,"0",,,,"2853207",
"Santa Clara Valley Transportation Authority, dba: Valley Transportation Authority","San Jose","CA","90013","Independent Public Agency or Authority of Transit Service","Full Reporter","2024","79039","San Jose, CA","1837446","520","29893180",,,,,,"3125000",,"0",,,,"33018180",
"Alameda-Contra Costa Transit District, dba: AC Transit","Oakland","CA","90014","Independent Public Agency or Authority of Transit Service","Full Reporter","2024","78904","San Francisco--Oakland, CA","3515933","619","47015892",,,,,,"1399485",,"0",,,,"48415377",
"City and County of San Francisco, dba: San Francisco Municipal Transportation Agency","San Francisco","CA","90015","City, County or Local Government Unit or Department of Transportation","Full Reporter","2024","78904","San Francisco--Oakland, CA","3515933","777","97185028",,,,"8949943",,"8423128",,"0",,,,"114558099",
"Golden Gate Bridge, Highway and Transportation District","San Francisco","CA","90016","Independent Public Agency or Authority of Transit Service","Full Reporter","2024","78904","San Francisco--Oakland, CA","3515933","73","22683072",,"268040",,"141695",,"83392",,"0",,,,"23176199",
"City of Santa Rosa, dba: Santa Rosa CityBus","Santa Rosa","CA","90017","City, County or Local Government Unit or Department of Transportation","Full Reporter","2024","79498","Santa Rosa, CA","297329","29","1228177",,,,,,,,"0",,,,"1228177",
"Ak-Chin Indian Community, dba: Ak-Chin Tribal Transit","Maricopa","AZ","90018","Tribe","Reduced Reporter","2024","00004","Arizona Non-UZA","1296856","8","0",,,,,,,,"0",,"0",,"0",
"Sacramento Regional Transit District, dba: Sacramento RT","Sacramento","CA","90019","Independent Public Agency or Authority of Transit Service","Full Reporter","2024","77068","Sacramento, CA","1946618","387","18361164",,,,,,"987671",,"0",,,,"19348835",
"Santa Barbara Metropolitan Transit District","Santa Barbara","CA","90020","Independent Public Agency or Authority of Transit Service","Full Reporter","2024","79282","Santa Barbara, CA","202197","71","5021718",,,,"3369",,"403139",,"0",,,,"5428226",
"City of Norwalk, dba: Norwalk Transit System","Norwalk","CA","90022","City, County or Local Government Unit or Department of Transportation","Full Reporter","2024","51445","Los Angeles--Long Beach--Anaheim, CA","12237376","27","901477",,,,,,"35660",,"0",,,,"937137",
"Long Beach Transit","Long Beach","CA","90023","Other Publicly-Owned or Privately Chartered Corporation","Full Reporter","2024","51445","Los Angeles--Long Beach--Anaheim, CA","12237376","196","9683139",,,,,,"740683",,"0",,,,"10423822",
"City of La Mirada, dba: La Mirada Transit","La Mirada","CA","90024","City, County or Local Government Unit or Department of Transportation","Full Reporter","2024","51445","Los Angeles--Long Beach--Anaheim, CA","12237376","5","23664",,,,,,,,,,"0",,"23664",
"San Diego Metropolitan Transit System","San Diego","CA","90026","Independent Public Agency or Authority of Transit Service","Full Reporter","2024","78661","San Diego, CA","3070300","819","72348368",,,,"392336",,,,"0",,,,"72740704",
"City of Fresno, dba: Fresno Area Express","Fresno","CA","90027","City, County or Local Government Unit or Department of Transportation","Full Reporter","2024","31843","Fresno, CA","717589","152","5000320",,,,,,"430000",,"0",,,,"5430320",
"Omnitrans, dba: OMNI","San Bernardino","CA","90029","Independent Public Agency or Authority of Transit Service","Full Reporter","2024","75340","Riverside--San Bernardino, CA","2276703","167","8019025",,,,,,"977017",,"0",,,,"8996042",
"North County Transit District","Oceanside","CA","90030","Independent Public Agency or Authority of Transit Service","Full Reporter","2024","78661","San Diego, CA","3070300","191","11582590",,,,"47692",,"1483612",,"0",,,,"13113894",
"Riverside Transit Agency","Riverside","CA","90031","Independent Public Agency or Authority of Transit Service","Full Reporter","2024","75340","Riverside--San Bernardino, CA","2276703","225","7249394",,,,,,,,"0",,,,"7249394",
"City of Phoenix, dba: Valley Metro","Phoenix","AZ","90032","City, County or Local Government Unit or Department of Transportation","Full Reporter","2024","69184","Phoenix--Mesa--Scottsdale, AZ","3976313","491","14435053",,,,,,"5839141",,"0",,,,"20274194",
"City of Tucson, dba: Sun Tran","Tucson","AZ","90033","City, County or Local Government Unit or Department of Transportation","Full Reporter","2024","88732","Tucson, AZ","875441","275","9493607",,,,"15892",,"1169930",,"0",,,,"10679429",
"City of Glendale","Glendale","AZ","90034","City, County or Local Government Unit or Department of Transportation","Full Reporter","2024","69184","Phoenix--Mesa--Scottsdale, AZ","3976313","18","102619",,,,,,"46619",,,,,,"149238",
"Gold Coast Transit District","Oxnard","CA","90035","Independent Public Agency or Authority of Transit Service","Full Reporter","2024","66673","Oxnard--San Buenaventura (Ventura), CA","376117","74","2100383",,,,,,"250057",,"0",,,,"2350440",
"Orange County Transportation Authority","Orange","CA","90036","Independent Public Agency or Authority of Transit Service","Full Reporter","2024","51445","Los Angeles--Long Beach--Anaheim, CA","12237376","887","36010314",,,,,,"3054118",,"0",,,,"39064432",
"City of Culver City, dba: Culver CityBus","Culver City","CA","90039","City, County or Local Government Unit or Department of Transportation","Full Reporter","2024","51445","Los Angeles--Long Beach--Anaheim, CA","12237376","42","1732484",,,,"0",,"295479",,"0",,,,"2027963",
"City of Montebello, dba: Montebello Bus Lines","Montebello","CA","90041","City, County or Local Government Unit or Department of Transportation","Full Reporter","2024","51445","Los Angeles--Long Beach--Anaheim, CA","12237376","81","2185313",,,,,,"20050",,"0",,,,"2205363",
"City of Gardena, dba: GTrans","Gardena","CA","90042","City, County or Local Government Unit or Department of Transportation","Full Reporter","2024","51445","Los Angeles--Long Beach--Anaheim, CA","12237376","29","1426774",,,,,,,,"0",,,,"1426774",
"City of Commerce, dba: City of Commerce Transit","Commerce","CA","90043","City, County or Local Government Unit or Department of Transportation","Full Reporter","2024","51445","Los Angeles--Long Beach--Anaheim, CA","12237376","14","0",,,,,,,,,,,,"0",
"City of Arcadia, dba: Arcadia Transit","Arcadia","CA","90044","City, County or Local Government Unit or Department of Transportation","Reduced Reporter","2024","51445","Los Angeles--Long Beach--Anaheim, CA","12237376","14","8455",,,,,,,,,,,,"8455",
"Regional Transportation Commission of Southern Nevada","Las Vegas","NV","90045","Independent Public Agency or Authority of Transit Service","Full Reporter","2024","47995","Las Vegas--Henderson--Paradise, NV","2196623","663","60611351",,,,,,"3786447",,"0",,,,"64397798",
"City of Simi Valley, dba: Simi Valley Transit","Simi Valley","CA","90050","City, County or Local Government Unit or Department of Transportation","Reduced Reporter","2024","82144","Simi Valley, CA","127364","15","324119",,,,,,,,"68419",,,,"392538",
