"agency","city","state","ntd_id","organization_type","reporter_type","report_year","uace_code","uza_name","primary_uza_population","agency_voms","general_fund","income_tax","sales_tax","property_tax","fuel_tax","other_taxes","tolls","other_funds","reduced_reporter_funds","total"
"Southwest Iowa Planning Council, dba: Southwest Iowa Transit Agency","Atlantic","IA","70258","Independent Public Agency or Authority of Transit Service","Rural Reporter","2024",,,,"73","0","0","0","0","0","0","0","0","75595","75595"
"Futures Unlimited, dba: Wellington Area Local Transit","Wellington","KS","70259","Private-Non-Profit Corporation","Rural Reporter","2024",,,,"3","0","0","0","0","0","0","0","0","124234","124234"
"City of Mason City, dba: Mason City Transit","Mason City","IA","70260","City, County or Local Government Unit or Department of Transportation","Rural Reporter","2024",,,,"12","0","0","0","0","0","0","0","0","116251","116251"
"SERVE, Inc.","Fulton","MO","70263","Private-Non-Profit Corporation","Rural Reporter","2024",,,,"12","0","0","0","0","0","0","0","0","199662","199662"
"City of Chadron","Chadron","NE","70265","City, County or Local Government Unit or Department of Transportation","Rural Reporter","2024",,,,"3","0","0","0","0","0","0","0","0","17351","17351"
"City of Kingman, dba: Kingman General Public Transportation","Kingman","KS","70266","City, County or Local Government Unit or Department of Transportation","Rural Reporter","2024",,,,"2","0","0","0","0","0","0","0","0","32123","32123"
"Project Concern, dba: Project Concern Public Transportation","Atchison","KS","70267","Private-Non-Profit Corporation","Rural Reporter","2024",,,,"2","0","0","0","0","0","0","0","0","37425","37425"
"Gove County, dba: Gove County Public Transportation","Quinter","KS","70268","Private-Non-Profit Corporation","Rural Reporter","2024",,,,"2","0","0","0","0","0","0","0","0","16076","16076"
"Kansas City, City of Missouri, dba: Kansas City Streetcar","Kansas City","MO","70271","City, County or Local Government Unit or Department of Transportation","Full Reporter","2024","43912","Kansas City, MO--KS","1674218","4","2412052","0","21556793","10926583","0","65706","0","0","0","34961134"
"Sac and Fox Nation of Missouri, dba: General Public Transportation","Hiawatha","KS","70273","Tribe","Reduced Reporter","2024","00020","Kansas Non-UZA","1388420","3","0","0","0","0","0","0","0","0","0","0"
"City of Grand Island, dba: Central Ride Agency of Nebraska","Grand Island","NE","70274","City, County or Local Government Unit or Department of Transportation","Reduced Reporter","2024","34246","Grand Island, NE","55099","15","0","0","0","0","0","0","0","0","275654","275654"
"Nebraska Department of Transportation","Lincoln","NE","70275","State Government Unit or Department of Transportation","Full Reporter","2024","65269","Omaha, NE--IA","819508","28","0","0","0","0","0","0","0","0","0","0"
"Linn County, dba: LIFTS","Cedar Rapids","IA","70277","City, County or Local Government Unit or Department of Transportation","Reduced Reporter","2024","14752","Cedar Rapids, IA","192844","20","0","0","0","0","0","0","0","0","715989","715989"
"Ponca Tribe of Nebraska, dba: Ponca Express","Niobrara","NE","77063","Tribe","Reduced Reporter","2024","00031","Nebraska Non-UZA","846992","16","0","0","0","0","0","0","0","0","0","0"
"Santee Sioux Nation","Niobrara","NE","77069","Tribe","Reduced Reporter","2024","00031","Nebraska Non-UZA","846992","1","0","0","0","0","0","0","0","0","63878","63878"
"Prairie Band Potawatomi Nation, dba: PBPN General Public Transportation","Mayetta","KS","77075","Tribe","Reduced Reporter","2024","00020","Kansas Non-UZA","1388420","8","0","0","0","0","0","0","0","0","273154","273154"
"Rawlins County, dba: Rawlins County Public Transportation","Atwood","KS","77076","City, County or Local Government Unit or Department of Transportation","Rural Reporter","2024",,,,"1","0","0","0","0","0","0","0","0","14271","14271"
"Omaha Tribe of Nebraska, dba: Omaha Tribe Public Transit","Macy","NE","77077","Tribe","Reduced Reporter","2024","00031","Nebraska Non-UZA","846992","7","0","0","0","0","0","0","0","0","0","0"
"Garden County, dba: Garden County Public Transit","Oshkosh","NE","77078","City, County or Local Government Unit or Department of Transportation","Rural Reporter","2024",,,,"4","0","0","0","0","0","0","0","0","0","0"
"Northeast Kansas Area Agency on Aging, dba: NEKAAA General Public Transportation","Hiawatha","KS","77079","Private-Non-Profit Corporation","Rural Reporter","2024",,,,"7","0","0","0","0","0","0","0","0","190011","190011"
"Cheyenne County, dba: Cheyenne County Public Transportation","St Francis","KS","77082","City, County or Local Government Unit or Department of Transportation","Rural Reporter","2024",,,,"1","0","0","0","0","0","0","0","0","15334","15334"
"Multi Community Diversified Services, Inc.","Mcpherson","KS","77083","Private-Non-Profit Corporation","Rural Reporter","2024",,,,"5","0","0","0","0","0","0","0","0","75688","75688"
"Nance Trans","Fullerton","NE","77085","Private-Non-Profit Corporation","Rural Reporter","2024",,,,"3","0","0","0","0","0","0","0","0","0","0"
"New Bourbon Regional Port Authority","Perryville","MO","77086","City, County or Local Government Unit or Department of Transportation","Rural Reporter","2024",,,,"1","0","0","0","0","0","0","0","0","31063","31063"
"Callaway District Hospital, dba: Callaway District Hospital Public Transportation","Callaway","NE","77087","Other Publicly-Owned or Privately Chartered Corporation","Rural Reporter","2024",,,,"3","0","0","0","0","0","0","0","0","7968","7968"
"Jones County, dba: Jones County Jets","Anamosa","IA","77089","City, County or Local Government Unit or Department of Transportation","Rural Reporter","2024",,,,"9","0","0","0","0","0","0","0","0","4944","4944"
"Benton County, dba: Benton County Transportation","Vinton","IA","77090","City, County or Local Government Unit or Department of Transportation","Rural Reporter","2024",,,,"11","0","0","0","0","0","0","0","0","148542","148542"
"Washington County, dba: Washington County Mini Bus","Washington","IA","77091","City, County or Local Government Unit or Department of Transportation","Rural Reporter","2024",,,,"14","0","0","0","0","0","0","0","0","441163","441163"
"Iowa County, dba: Iowa County Transportation","Marengo","IA","77092","City, County or Local Government Unit or Department of Transportation","Rural Reporter","2024",,,,"9","0","0","0","0","0","0","0","0","12119","12119"
"St. Francis Services, LLC, dba: JOYRIDE Public Transit","West Point","NE","77093","Private-Non-Profit Corporation","Rural Reporter","2024",,,,"3","0","0","0","0","0","0","0","0","38717","38717"
"Community Health Center of Southeast Kansas Inc, dba: CareVan","Pittsburg","KS","77094","Private-Non-Profit Corporation","Rural Reporter","2024",,,,"10","0","0","0","0","0","0","0","0","106754","106754"
"Utah Transit Authority","Salt Lake City","UT","80001","Independent Public Agency or Authority of Transit Service","Full Reporter","2024","78499","Salt Lake City, UT","1178533","1054","21356291","0","491615298","0","0","0","0","0","0","512971589"
"City of Sioux Falls, dba: Sioux Area Metro","Sioux Falls","SD","80002","City, County or Local Government Unit or Department of Transportation","Full Reporter","2024","82252","Sioux Falls, SD","194283","36","5619464","0","694260","0","0","0","0","0","0","6313724"
"City of Fargo, dba: Metropolitan Area Transit","Fargo","ND","80003","City, County or Local Government Unit or Department of Transportation","Full Reporter","2024","29089","Fargo, ND--MN","216214","40","8082514","0","0","0","0","0","0","0","0","8082514"
"City of Billings, dba: Billings Metropolitan Transit System","Billings","MT","80004","City, County or Local Government Unit or Department of Transportation","Full Reporter","2024","07705","Billings, MT","128787","27","0","0","0","2261394","0","0","0","0","0","2261394"
"City of Colorado Springs, dba: Mountain Metropolitan Transit","Colorado Springs","CO","80005","City, County or Local Government Unit or Department of Transportation","Full Reporter","2024","18856","Colorado Springs, CO","632494","103","5489507","0","19574546","0","0","0","0","0","0","25064053"
"Denver Regional Transportation District, dba: RTD-Denver","Denver","CO","80006","Independent Public Agency or Authority of Transit Service","Full Reporter","2024","23527","Denver--Aurora, CO","2686147","1011","12965442","0","0","0","0","0","0","0","0","12965442"
"City of Pueblo, dba: Pueblo Transit","Pueblo","CO","80007","City, County or Local Government Unit or Department of Transportation","Full Reporter","2024","72613","Pueblo, CO","120642","26","2793010","0","0","0","0","0","0","0","0","2793010"
"City of Grand Forks","Grand Forks","ND","80008","City, County or Local Government Unit or Department of Transportation","Full Reporter","2024","34219","Grand Forks, ND--MN","68160","24","0","0","0","1495495","0","59228","0","0","0","1554723"
"Missoula Urban Transportation District, dba: Mountain Line","Missoula","MT","80009","Independent Public Agency or Authority of Transit Service","Full Reporter","2024","57736","Missoula, MT","88109","37","40000","0","0","12817101","0","0","0","62197","0","12919298"
"Greeley, City Of, dba: Greeley Evans Transit","Greeley","CO","80010","City, County or Local Government Unit or Department of Transportation","Reduced Reporter","2024","34786","Greeley, CO","137222","30","0","0","0","0","0","0","0","0","2873813","2873813"
"City of Fort Collins, dba: Transfort","Fort Collins","CO","80011","City, County or Local Government Unit or Department of Transportation","Full Reporter","2024","30628","Fort Collins, CO","326332","47","13420135","0","1122294","0","0","0","0","0","0","14542429"
"Great Falls Transit District","Great Falls","MT","80012","Independent Public Agency or Authority of Transit Service","Full Reporter","2024","34759","Great Falls, MT","67097","24","0","0","0","0","0","0","0","0","0","0"
"City of Casper, dba: Casper Area Transit","Casper","WY","80013","City, County or Local Government Unit or Department of Transportation","Reduced Reporter","2024","14482","Casper, WY","67751","24","0","0","0","0","0","0","0","0","691304","691304"
"City of Rapid City, dba: Rapid Transit System","Rapid City","SD","80014","City, County or Local Government Unit or Department of Transportation","Reduced Reporter","2024","73396","Rapid City, SD","85679","18","0","0","0","0","0","0","0","0","1304619","1304619"
"Shoshone and Arapaho Tribes, dba: Shoshone Arapaho Tribal Transit","Fort Washakie","WY","80015","Tribe","Reduced Reporter","2024","00056","Wyoming Non-UZA","429850","5","0","0","0","0","0","0","0","0","25563","25563"
"County of Mesa, dba: Grand Valley Transit","Grand Junction","CO","80016","City, County or Local Government Unit or Department of Transportation","Reduced Reporter","2024","34273","Grand Junction, CO","135973","19","0","0","0","0","0","0","0","0","1590669","1590669"
"Southern Ute Indian Tribe","Ignacio","CO","80017","Tribe","Reduced Reporter","2024","00008","Colorado Non-UZA","1331465","0","0","0","0","0","0","0","0","0","4500","4500"
"Fort Peck Tribes, dba: Fort Peck Transit Dial-A-Ride","Wolf Point","MT","80018","Tribe","Reduced Reporter","2024","00030","Montana Non-UZA","688772","10","0","0","0","0","0","0","0","0","401394","401394"
"Bis-Man Transit Board, dba: Bis-Man Transit","Bismarck","ND","80019","Independent Public Agency or Authority of Transit Service","Reduced Reporter","2024","07921","Bismarck, ND","98198","24","0","0","0","0","0","0","0","0","1471627","1471627"
"The City of Cheyenne, dba: Cheyenne Transit Program","Cheyenne","WY","80020","City, County or Local Government Unit or Department of Transportation","Reduced Reporter","2024","16237","Cheyenne, WY","79250","14","0","0","0","0","0","0","0","0","583158","583158"
"City of Loveland, Colorado, dba: City of Loveland Transit","Loveland","CO","80025","City, County or Local Government Unit or Department of Transportation","Full Reporter","2024","30628","Fort Collins, CO","326332","10","2820659","0","0","0","0","0","0","0","0","2820659"
"City of St. George, dba: SunTran","Saint George","UT","80026","City, County or Local Government Unit or Department of Transportation","Reduced Reporter","2024","77446","St. George, UT","134109","10","0","0","0","0","0","0","0","0","1340656","1340656"
"Cache Valley Transit District, dba: Connect Transit","North Logan","UT","80028","Independent Public Agency or Authority of Transit Service","Full Reporter","2024","50959","Logan, UT","113927","33","0","0","0","0","0","0","0","26940","0","26940"
"North Front Range Transportation and Air Quality Planning Council, dba: North Front Range MPO / VanGo","Fort Collins","CO","80106","MPO, COG or Other Planning Agency","Full Reporter","2024","30628","Fort Collins, CO","326332","22","346227","0","0","0","0","0","0","0","0","346227"
