"agency","city","state","ntd_id","organization_type","reporter_type","report_year","uace_code","uza_name","primary_uza_population","agency_voms","income_tax","sales_tax","property_tax","fuel_tax","other_tax","tolls","other_funds","total"
"Dickey County Senior Citizens, dba: Dickey County Public Transportation","Ellendale","ND","80130","Private-Non-Profit Corporation","Rural Reporter","2024",,,,"4",,,,,,,,
"Crook County Senior Services, Inc.","Sundance","WY","80132","Private-Non-Profit Corporation","Rural Reporter","2024",,,,"6",,,,,,,,
"Liberty County, dba: Liberty County Transit","Chester","MT","80134","City, County or Local Government Unit or Department of Transportation","Rural Reporter","2024",,,,"3",,,,,,,,
"Carter County, dba: Carter Charter","Ekalaka","MT","80135","City, County or Local Government Unit or Department of Transportation","Rural Reporter","2024",,,,"2",,,,,,,,
"Helena, City of, dba: Capital Transit","Helena","MT","80137","City, County or Local Government Unit or Department of Transportation","Reduced Reporter","2024","38161","Helena, MT","52380","13",,,,,,,,
"Rosebud Health Care Center","Forsyth","MT","80139","Private-Non-Profit Corporation","Rural Reporter","2024",,,,"3",,,,,,,,
"University of Wyoming","Laramie","WY","80140","University","Rural Reporter","2024",,,,"15",,,,,,,,
"Ravalli County Council on Aging, dba: BitterRoot Bus","Hamilton","MT","80142","Private-Non-Profit Corporation","Rural Reporter","2024",,,,"5",,,,,,,,
"Liberty Place, Inc., dba: Whitehall Public Transportation","Whitehall","MT","80144","Private-Non-Profit Corporation","Rural Reporter","2024",,,,"9",,,,,,,,
"Upper Arkansas Area Council of Governments","Canon City","CO","80148","MPO, COG or Other Planning Agency","Rural Reporter","2024",,,,"0",,,,,,,,
"Gunnison Valley Rural Transportation Authority, dba: Gunnison Valley RTA","Crested Butte","CO","80150","Independent Public Agency or Authority of Transit Service","Rural Reporter","2024",,,,"14",,,,,,,,
"Buffalo Senior Center Inc., dba: Buffalo Area Transit System","Buffalo","WY","80151","Private-Non-Profit Corporation","Rural Reporter","2024",,,,"5",,,,,,,,
"Nutrition United, dba: Rolette County Transit","Rolla","ND","80152","Private-Non-Profit Corporation","Rural Reporter","2024",,,,"5",,,,,,,,
"People's Transit","Huron","SD","80153","Private-Non-Profit Corporation","Rural Reporter","2024",,,,"17",,,,,,,,
"City of Brandon, dba: Brandon City Transit, Inc","Brandon","SD","80154","City, County or Local Government Unit or Department of Transportation","Rural Reporter","2024",,,,"2",,,,,,,,
"Eagle County, dba: ECO Transit","Eagle","CO","80155","City, County or Local Government Unit or Department of Transportation","Rural Reporter","2024",,,,"25",,,,,,,,
"Mountain Express","Crested Butte","CO","80159","Independent Public Agency or Authority of Transit Service","Rural Reporter","2024",,,,"18",,,,,,,,
"Williston Council for the Aging, dba: Northwest Dakota Public Transit","Williston","ND","80160","Private-Non-Profit Corporation","Rural Reporter","2024",,,,"11",,,,,,,,
"Summit County, dba: Summit Stage","Breckenridge","CO","80161","City, County or Local Government Unit or Department of Transportation","Rural Reporter","2024",,,,"31",,,,,,,,
"East Central Council of Local Governments, dba: Outback Express","Stratton","CO","80162","MPO, COG or Other Planning Agency","Rural Reporter","2024",,,,"3",,,,,,,,
"Campbell County Senior Citizens Association Inc, dba: Campbell County Senior Center","Gillette","WY","80163","Private-Non-Profit Corporation","Rural Reporter","2024",,,,"8",,,,,,,,
"Sanders County Council on Aging, dba: Sanders County Transportation","Hot Springs","MT","80164","Private-Non-Profit Corporation","Rural Reporter","2024",,,,"10",,,,,,,,
"Urban Transportation District of Dawson County, dba: Dawson Urban Transit","Glendive","MT","80166","Independent Public Agency or Authority of Transit Service","Rural Reporter","2024",,,,"7",,,,,,,,
"Powder River County, dba: Powder River County Transportation","Broadus","MT","80167","City, County or Local Government Unit or Department of Transportation","Rural Reporter","2024",,,,"7",,,,,,,,
"Dolores County, dba: Senior and Public Transportation","Dove Creek","CO","80168","City, County or Local Government Unit or Department of Transportation","Rural Reporter","2024",,,,"7",,,,,,,,
"Toole County, dba: Northern Transit Interlocal","Shelby","MT","80169","City, County or Local Government Unit or Department of Transportation","Rural Reporter","2024",,,,"7",,,,,,,,
"Town of Breckenridge, dba: Free Ride","Breckenridge","CO","80170","City, County or Local Government Unit or Department of Transportation","Rural Reporter","2024",,,,"11",,,,,,,,
"Community Coordinated Transportation Systems, dba: River Cities Public Transit","Pierre","SD","80171","Private-Non-Profit Corporation","Rural Reporter","2024",,,,"48",,,,,,,,
"Lincoln County Transportation Service, Inc., dba: Lincoln County Transportation Service","Libby","MT","80172","Private-Non-Profit Corporation","Rural Reporter","2024",,,,"7",,,,,,,,
"Mineral County Pioneer Council, Inc., dba: Mineral County Transportation Services","Superior","MT","80173","Private-Non-Profit Corporation","Rural Reporter","2024",,,,"4",,,,,,,,
"Silver Bow County, dba: Butte Silver Bow Transit","Butte","MT","80174","City, County or Local Government Unit or Department of Transportation","Rural Reporter","2024",,,,"12",,,,,,,,
"City of Burlington, dba: Outback Express","Burlington","CO","80179","City, County or Local Government Unit or Department of Transportation","Rural Reporter","2024",,,,"1",,,,,,,,
"Custer County","Miles City","MT","80181","City, County or Local Government Unit or Department of Transportation","Rural Reporter","2024",,,,"5",,,,,,,,
"Rural Office of Community Services","Wagner","SD","80182","Private-Non-Profit Corporation","Rural Reporter","2024",,,,"33",,,,,,,,
"Valley County, dba: Valley County Transit","Glasgow","MT","80183","City, County or Local Government Unit or Department of Transportation","Rural Reporter","2024",,,,"5",,,,,,,,
"Lake County Council on Aging, dba: Lake Community Transit","Ronan","MT","80184","Private-Non-Profit Corporation","Rural Reporter","2024",,,,"9",,,,,,,,
"Riverton Senior Center, dba: Riverton Public Transportation Service","Riverton","WY","80185","Private-Non-Profit Corporation","Rural Reporter","2024",,,,"4",,,,,,,,
"City of Steamboat Springs, dba: Steamboat Springs Transit","Steamboat Springs","CO","80186","City, County or Local Government Unit or Department of Transportation","Rural Reporter","2024",,,,"26",,,,,,,,
"Brookings Area Transit Authority","Brookings","SD","80187","Private-Non-Profit Corporation","Rural Reporter","2024",,,,"25",,,,,,,,
"Southern Teton Area Rapid Transit, dba: START Bus","Jackson","WY","80188","Independent Public Agency or Authority of Transit Service","Rural Reporter","2024",,,,"30",,,,,,,,
"Southern Teton Area Rapid Transit, dba: START Bus","Jackson","WY","80188","Independent Public Agency or Authority of Transit Service","Rural Reporter","2024",,,,"0",,,,,,,,
"Southern Colorado Community Action Agency, Inc., dba: Road Runner Transit / Ignacio Senior Center","Ignacio","CO","80189","Private-Non-Profit Corporation","Rural Reporter","2024",,,,"7",,,,,,,,
"East Dakota Transit, Inc.","Madison","SD","80190","Private-Non-Profit Corporation","Rural Reporter","2024",,,,"3",,,,,,,,
"Senior Citizens Council, dba: Goose Creek Transit","Sheridan","WY","80193","Private-Non-Profit Corporation","Rural Reporter","2024",,,,"15",,,,,,,,
"Kenmare Wheels & Meals, dba: Kenmare Transit","Kenmare","ND","80196","Private-Non-Profit Corporation","Rural Reporter","2024",,,,"2",,,,,,,,
"North Big Horn Senior Center, Inc., dba: North Big Horn Senior Center","Lovell","WY","80199","Private-Non-Profit Corporation","Rural Reporter","2024",,,,"7",,,,,,,,
"Missoula Ravalli Transportation Management Association, dba: I Ride Vanpool","Missoula","MT","80200","Private-Non-Profit Corporation","Rural Reporter","2024",,,,"24",,,,,,,,
"Montezuma County, dba: MoCo Public Transportation","Cortez","CO","80201","City, County or Local Government Unit or Department of Transportation","Rural Reporter","2024",,,,"6",,,,,,,,
"Opportunity Link","Havre","MT","80204","Private-Non-Profit Corporation","Rural Reporter","2024",,,,"7",,,,,,,,
"Daniels Memorial Healthcare Foundation, dba: Daniels County Transportation","Scobey","MT","80205","Private-Non-Profit Corporation","Rural Reporter","2024",,,,"3",,,,,,,,
"City of Durango, dba: Durango Transit","Durango","CO","80206","City, County or Local Government Unit or Department of Transportation","Rural Reporter","2024",,,,"12",,,,,,,,
"Hot Springs County Senior Citizens Center, Inc.","Thermopolis","WY","80209","Private-Non-Profit Corporation","Rural Reporter","2024",,,,"4",,,,,,,,
"Town of Limon","Limon","CO","80211","City, County or Local Government Unit or Department of Transportation","Rural Reporter","2024",,,,"1",,,,,,,,
"Converse County Aging Services, dba: Douglas Senior Center and Glenrock Senior Center","Douglas","WY","80216","Private-Non-Profit Corporation","Rural Reporter","2024",,,,"5",,,,,,,,
"Sweetwater County Transit Authority, dba: STAR Transit","Rock Springs","WY","80218","Independent Public Agency or Authority of Transit Service","Rural Reporter","2024",,,,"6",,,,,,,,
"Flathead County, dba: Mountain Climber Transit","Kalispell","MT","80220","City, County or Local Government Unit or Department of Transportation","Rural Reporter","2024",,,,"14",,,,,,,,
"Northeastern Colorado Association of Local Governments, dba: County Express / Prairie Express","Fort Morgan","CO","80221","MPO, COG or Other Planning Agency","Rural Reporter","2024",,,,"60",,,,,,,,
"Lander Senior Citizens Center, Inc., dba: Lander Senior Center","Lander","WY","80223","Private-Non-Profit Corporation","Rural Reporter","2024",,,,"4",,,,,,,,
"Phillips Transit Authority","Malta","MT","80224","Independent Public Agency or Authority of Transit Service","Rural Reporter","2024",,,,"7",,,,,,,,
"City of La Junta, dba: La Junta Transit","La Junta","CO","80225","City, County or Local Government Unit or Department of Transportation","Rural Reporter","2024",,,,"4",,,,,,,,
"Huerfano/Las Animas Area Council of Governments, dba: South Central Council of Governments","Trinidad","CO","80227","MPO, COG or Other Planning Agency","Rural Reporter","2024",,,,"7",,,,,,,,
"Kidder-Emmons County Senior Services, dba: Kidder County Transit","Steele","ND","80228","Private-Non-Profit Corporation","Rural Reporter","2024",,,,"3",,,,,,,,
"Cavalier County Senior Meals & Services, dba: Cavalier County Transit","Langdon","ND","80233","Private-Non-Profit Corporation","Rural Reporter","2024",,,,"3",,,,,,,,
"Human Resource Development Council District IX, Inc., dba: Galavan / Streamline","Bozeman","MT","80235","Private-Non-Profit Corporation","Reduced Reporter","2024","09514","Bozeman, MT","59080","21",,,,,,,,
"Fergus County Council on Aging, dba: Central Montana Shuttle","Lewistown","MT","80236","Private-Non-Profit Corporation","Rural Reporter","2024",,,,"8",,,,,,,,
"Neighbor to Neighbor Volunteers, dba: Mountain Valley Transit","Salida","CO","80237","Private-Non-Profit Corporation","Rural Reporter","2024",,,,"10",,,,,,,,
"West River Transit","Bismarck","ND","80238","Private-Non-Profit Corporation","Rural Reporter","2024",,,,"22",,,,,,,,
"Cedar City","Cedar City","UT","80248","City, County or Local Government Unit or Department of Transportation","Rural Reporter","2024",,,,"2",,,,,,,,
"Benson County Transportation","Maddock","ND","80249","City, County or Local Government Unit or Department of Transportation","Rural Reporter","2024",,,,"2",,,,,,,,
"Eppson Center for Seniors","Laramie","WY","80252","Private-Non-Profit Corporation","Rural Reporter","2024",,,,"4",,,,,,,,
"West River Transit Authority, Inc., dba: Prairie Hills Transit","Spearfish","SD","80253","Private-Non-Profit Corporation","Rural Reporter","2024",,,,"30",,,,,,,,
"Glen-wood, Inc., dba: Quality Transit","Plentywood","MT","80254","Private-Non-Profit Corporation","Rural Reporter","2024",,,,"8",,,,,,,,
"Big Sky Transportation District, dba: Skyline","Big Sky","MT","80255","Independent Public Agency or Authority of Transit Service","Rural Reporter","2024",,,,"11",,,,,,,,
"Town of Mountain Village, dba: Mountain Village Transit","Telluride","CO","80256","City, County or Local Government Unit or Department of Transportation","Rural Reporter","2024",,,,"75",,,,,,,,
"Uinta Senior Citizens, Inc.","Evanston","WY","80257","Private-Non-Profit Corporation","Rural Reporter","2024",,,,"4",,,,,,,,
"City of Glenwood Springs, dba: Ride Glenwood Springs","Glenwood Springs","CO","80258","City, County or Local Government Unit or Department of Transportation","Rural Reporter","2024",,,,"3",,,,,,,,
"Richland County, dba: Richland County Transit","Sidney","MT","80259","City, County or Local Government Unit or Department of Transportation","Rural Reporter","2024",,,,"9",,,,,,,,
"Uintah Basin Association of Governments","Roosevelt","UT","80260","MPO, COG or Other Planning Agency","Rural Reporter","2024",,,,"7",,,,,,,,
"Can-Do Transportation, dba: Towner County Transportation","Cando","ND","80261","Private-Non-Profit Corporation","Rural Reporter","2024",,,,"2",,,,,,,,
"City of Laurel, dba: Laurel Transit","Laurel","MT","80262","City, County or Local Government Unit or Department of Transportation","Rural Reporter","2024",,,,"1",,,,,,,,
"Town of Snowmass Village, dba: Village Shuttle","Snowmass Village","CO","80263","City, County or Local Government Unit or Department of Transportation","Rural Reporter","2024",,,,"24",,,,,,,,
"Cody Council on Aging, Inc., dba: Cody Senior Center","Cody","WY","80264","Private-Non-Profit Corporation","Rural Reporter","2024",,,,"6",,,,,,,,
"Senior Resource Development Agency, Pueblo, Inc.","Pueblo","CO","80267","Private-Non-Profit Corporation","Reduced Reporter","2024","72613","Pueblo, CO","120642","12",,,,,,,,
"Southwest Transportation Services, dba: Southwest Public Transit","Bowman","ND","80268","Private-Non-Profit Corporation","Rural Reporter","2024",,,,"5",,,,,,,,
