"agency","city","state","ntd_id","organization_type","reporter_type","report_year","uace_code","uza_name","primary_uza_population","agency_voms","fta_urbanized_area_formula","fta_capital_program_5309","fta_rural_progam_5311","other_fta_funds","other_dot_funds","other_federal_funds","total_federal_funds"
"Sierra County, dba: Sierra County Transportation Commission","Downieville","CA","91038","City, County or Local Government Unit or Department of Transportation","Rural Reporter","2024",,,,"4","0","0","140131","0","0","0","140131"
"City of Dixon, dba: Readi-Ride","Dixon","CA","91041","City, County or Local Government Unit or Department of Transportation","Rural Reporter","2024",,,,"10","0","0","787388","0","0","0","787388"
"City of Guadalupe","Guadalupe","CA","91043","City, County or Local Government Unit or Department of Transportation","Rural Reporter","2024",,,,"3","0","0","100130","0","0","0","100130"
"Northern Marianas - Commonwealth Office of Transit Authority","Saipan","MP","91045","State Government Unit or Department of Transportation","Rural Reporter","2024",,,,"9","1899900","0","3441690","0","0","0","5341590"
"Mendocino Transit Authority","Ukiah","CA","91047","Independent Public Agency or Authority of Transit Service","Rural Reporter","2024",,,,"20","768695","0","565328","115465","0","0","1449488"
"County of Siskiyou, dba: Siskiyou County Transit","Yreka","CA","91048","City, County or Local Government Unit or Department of Transportation","Rural Reporter","2024",,,,"5","0","75703","374228","0","0","0","449931"
"City of Douglas","Douglas","AZ","91052","City, County or Local Government Unit or Department of Transportation","Rural Reporter","2024",,,,"8","0","0","294568","0","0","0","294568"
"Lake Transit Authority","Lower Lake","CA","91053","Independent Public Agency or Authority of Transit Service","Rural Reporter","2024",,,,"26","910089","0","1441033","179525","0","0","2530647"
"Tuolumne County Transit Agency","Sonora","CA","91057","Independent Public Agency or Authority of Transit Service","Rural Reporter","2024",,,,"9","0","0","497984","281876","0","0","779860"
"City of Ojai, dba: Ojai Trolley","Ojai","CA","91058","City, County or Local Government Unit or Department of Transportation","Reduced Reporter","2024","66673","Oxnard--San Buenaventura (Ventura), CA","376117","2","0","0","450624","0","0","0","450624"
"County of Kern, dba: Kern Regional Transit","Bakersfield","CA","91059","City, County or Local Government Unit or Department of Transportation","Full Reporter","2024","04681","Bakersfield, CA","570235","40","567964","0","3495613","0","0","0","4063577"
"Elko County, dba: GET My Ride","Elko","NV","91061","City, County or Local Government Unit or Department of Transportation","Rural Reporter","2024",,,,"10","0","0","653538","0","0","0","653538"
"Eastern Sierra Transit Authority","Bishop","CA","91062","Independent Public Agency or Authority of Transit Service","Rural Reporter","2024",,,,"37","897870","0","655822","102500","0","0","1656192"
"Douglas County, dba: Douglas Area Rural Transit","Minden","NV","91064","City, County or Local Government Unit or Department of Transportation","Rural Reporter","2024",,,,"20","0","0","541206","0","0","0","541206"
"City of Taft, dba: Taft Area Transit","Taft","CA","91066","City, County or Local Government Unit or Department of Transportation","Rural Reporter","2024",,,,"3","0","0","50292","0","0","0","50292"
"Town of Miami, dba: Copper Mountain Transit","Miami","AZ","91069","City, County or Local Government Unit or Department of Transportation","Rural Reporter","2024",,,,"5","0","0","284828","0","0","0","284828"
"Yosemite Area Regional Transportation System","Merced","CA","91070","Independent Public Agency or Authority of Transit Service","Rural Reporter","2024",,,,"13","8222997","0","810376","0","80031","1424755","10538159"
"City of Chowchilla, dba: Chowchilla Area Transit Express","Chowchilla","CA","91071","City, County or Local Government Unit or Department of Transportation","Rural Reporter","2024",,,,"2","0","0","92579","0","0","0","92579"
"Southern Nevada Transit Coalition, dba: SNTC - Laughlin","Laughlin","NV","91072","Private-Non-Profit Corporation","Reduced Reporter","2024","11431","Bullhead City, AZ--NV","54396","9","0","0","1616361","0","0","0","1616361"
"City of Tehachapi","Tehachapi","CA","91074","City, County or Local Government Unit or Department of Transportation","Rural Reporter","2024",,,,"0","0","0","134558","0","0","0","134558"
"City of Kingman, dba: Kingman Area Regional Transit","Kingman","AZ","91075","City, County or Local Government Unit or Department of Transportation","Rural Reporter","2024",,,,"5","0","0","670368","0","0","0","670368"
"City of Escalon, dba: eTrans","Escalon","CA","91078","City, County or Local Government Unit or Department of Transportation","Reduced Reporter","2024","58006","Modesto, CA","357301","3","0","0","208604","0","0","0","208604"
"County of Hawaii, dba: Hele-On","Hilo","HI","91080","City, County or Local Government Unit or Department of Transportation","Rural Reporter","2024",,,,"108","1267308","0","800270","0","0","0","2067578"
"Mariposa County, dba: Mariposa County Transit","Mariposa","CA","91082","City, County or Local Government Unit or Department of Transportation","Rural Reporter","2024",,,,"8","0","0","149134","0","0","0","149134"
"County of Glenn, dba: Glenn Transit Services","Willows","CA","91088","City, County or Local Government Unit or Department of Transportation","Rural Reporter","2024",,,,"4","0","0","408226","0","0","0","408226"
"Tehama County, dba: Tehama Rural Area Express","Gerber","CA","91089","City, County or Local Government Unit or Department of Transportation","Rural Reporter","2024",,,,"14","529998","0","2576310","375000","0","0","3481308"
"Morongo Basin Transit Authority, dba: Basin Transit","Joshua Tree","CA","91090","Independent Public Agency or Authority of Transit Service","Rural Reporter","2024",,,,"13","0","0","1653563","86641","0","0","1740204"
"Tahoe Transportation District","Stateline","NV","91092","Independent Public Agency or Authority of Transit Service","Full Reporter","2024","99999","Lake Tahoe, CA-NV","210000","12","5142587","0","1516485","63357","0","0","6722429"
"County of Nevada, dba: Nevada County Connects","Nevada City","CA","91095","City, County or Local Government Unit or Department of Transportation","Rural Reporter","2024",,,,"17","298120","0","1051865","300700","0","2201041","3851726"
"City of Coolidge, dba: Cotton Express/Central Arizona Regional Transit","Coolidge","AZ","91096","City, County or Local Government Unit or Department of Transportation","Rural Reporter","2024",,,,"8","0","0","614409","0","0","0","614409"
"Redwood Coast Transit Authority","Crescent City","CA","91097","Independent Public Agency or Authority of Transit Service","Rural Reporter","2024",,,,"4","0","0","831744","0","0","0","831744"
"Lassen Transit Service Agency","Susanville","CA","91098","Independent Public Agency or Authority of Transit Service","Rural Reporter","2024",,,,"5","0","0","290840","0","0","0","290840"
"White Pine County","Ely","NV","91099","City, County or Local Government Unit or Department of Transportation","Rural Reporter","2024",,,,"4","0","0","124035","0","0","0","124035"
"Southern Nevada Transit Coalition","Laughlin","NV","91100","Private-Non-Profit Corporation","Rural Reporter","2024",,,,"5","1790","0","585979","0","0","0","587769"
"Town of Truckee, dba: Truckee TART","Truckee","CA","91101","City, County or Local Government Unit or Department of Transportation","Rural Reporter","2024",,,,"6","0","0","153806","187500","0","0","341306"
"Churchill County","Fallon","NV","91103","City, County or Local Government Unit or Department of Transportation","Rural Reporter","2024",,,,"4","0","0","306366","0","0","0","306366"
"City of Maricopa, dba: Maricopa Express Transit","Maricopa","AZ","91106","City, County or Local Government Unit or Department of Transportation","Reduced Reporter","2024","54477","Maricopa, AZ","57771","6","0","0","211815","0","0","0","211815"
"Southern Nevada Transit Coalition","Laughlin","NV","91107","Private-Non-Profit Corporation","Rural Reporter","2024",,,,"6","5159","0","620696","0","0","0","625855"
"City of McFarland, dba: McFarland City Transit Bus","Mcfarland","CA","91110","City, County or Local Government Unit or Department of Transportation","Rural Reporter","2024",,,,"1","0","0","53356","0","0","0","53356"
"City of California City","California City","CA","91111","City, County or Local Government Unit or Department of Transportation","Rural Reporter","2024",,,,"2","0","0","124431","0","0","0","124431"
"County of Colusa, dba: Colusa County Transit Agency","Colusa","CA","91112","City, County or Local Government Unit or Department of Transportation","Rural Reporter","2024",,,,"7","0","0","175521","0","0","0","175521"
"Lyon County","Yerington","NV","91113","City, County or Local Government Unit or Department of Transportation","Rural Reporter","2024",,,,"11","0","0","150440","0","0","0","150440"
"City of Benson, dba: Benson Area Transit","Benson","AZ","91114","City, County or Local Government Unit or Department of Transportation","Rural Reporter","2024",,,,"3","0","0","168617","0","0","0","168617"
"County of Alpine","Markleeville","CA","91116","City, County or Local Government Unit or Department of Transportation","Rural Reporter","2024",,,,"1","0","0","75524","0","0","0","75524"
"Plumas County Transportation Commission","Quincy","CA","91119","Independent Public Agency or Authority of Transit Service","Rural Reporter","2024",,,,"6","0","0","617490","0","0","0","617490"
"City of Shafter, dba: Shafter Dial-A-Ride","Shafter","CA","91120","City, County or Local Government Unit or Department of Transportation","Rural Reporter","2024",,,,"2","0","0","141168","0","0","0","141168"
"City of Bisbee, dba: City of Bisbee/ Bisbee Bus","Bisbee","AZ","91121","City, County or Local Government Unit or Department of Transportation","Rural Reporter","2024",,,,"3","0","0","207252","0","0","0","207252"
"Regional Transportation Authority of Pima County","Tucson","AZ","91122","Independent Public Agency or Authority of Transit Service","Full Reporter","2024","88732","Tucson, AZ","875441","58","408448","0","1607681","0","0","0","2016129"
"Cocopah Indian Tribe","Somerton","AZ","99250","Tribe","Reduced Reporter","2024","00004","Arizona Non-UZA","1296856","0","0","0","88624","0","0","0","88624"
"Yurok Tribe, dba: Tribe Yurok","Klamath","CA","99262","Tribe","Reduced Reporter","2024","00006","California Non-UZA","4357850","6","0","0","217495","0","0","364592","582087"
"Bishop Paiute Tribe","Bishop","CA","99268","Tribe","Reduced Reporter","2024","00006","California Non-UZA","4357850","0","0","0","5670","0","0","0","5670"
"San Carlos Apache Tribe","San Carlos","AZ","99286","Tribe","Reduced Reporter","2024","00004","Arizona Non-UZA","1296856","10","0","0","1680112","0","0","0","1680112"
"Blue Lake Rancheria, dba: Blue Lake Rancheria Transit System","Blue Lake","CA","99292","Tribe","Reduced Reporter","2024","00006","California Non-UZA","4357850","0","0","0","21700","0","0","0","21700"
"Quechan Indian Tribe","Winterhaven","CA","99310","Tribe","Reduced Reporter","2024","00004","Arizona Non-UZA","1296856","0","0","0","244573","0","0","142784","387357"
"Chemehuevi Indian Tribe","Havasu Lake","CA","99316","Tribe","Reduced Reporter","2024","00006","California Non-UZA","4357850","2","0","0","0","0","0","0","0"
"Fallon Paiute-Shoshone Tribe","Fallon","NV","99322","Tribe","Reduced Reporter","2024","00032","Nevada Non-UZA","399654","2","0","0","128101","0","0","39532","167633"
"Yavapai-Apache Nation, dba: YAN Transit","Camp Verde","AZ","99328","Tribe","Reduced Reporter","2024","00004","Arizona Non-UZA","1296856","9","60000","0","194924","0","0","316782","571706"
"White Mountain Apache Tribe","Whiteriver","AZ","99334","Tribe","Reduced Reporter","2024","00004","Arizona Non-UZA","1296856","5","0","0","413443","0","0","0","413443"
"Kaibab Band of Paiute Indians","Fredonia","AZ","99340","Tribe","Reduced Reporter","2024","00004","Arizona Non-UZA","1296856","9","0","0","113920","0","0","123831","237751"
"Pascua Yaqui Tribe","Tucson","AZ","99352","Tribe","Reduced Reporter","2024","00004","Arizona Non-UZA","1296856","0","0","0","239502","0","0","226816","466318"
"Morongo Band of Mission Indians, dba: Morongo Dial- A-Ride","Banning","CA","99358","Tribe","Reduced Reporter","2024","00006","California Non-UZA","4357850","1","0","0","30842","0","0","0","30842"
