"agency","city","state","ntd_id","organization_type","reporter_type","report_year","uace_code","uza_name","primary_uza_population","agency_voms","general_funds","transportation_funds","reduced_reporter_funds","total","total_questionable"
"Harper County, dba: Harper County Public Transportation Services","Anthony","KS","70228","City, County or Local Government Unit or Department of Transportation","Rural Reporter","2024",,,,"4","0","0","25558","25558",
"City Of McCook Public Transit","Mc Cook","NE","70232","City, County or Local Government Unit or Department of Transportation","Rural Reporter","2024",,,,"2","0","0","35743","35743",
"Wayne Public Transit","Wayne","NE","70233","City, County or Local Government Unit or Department of Transportation","Rural Reporter","2024",,,,"4","0","0","19823","19823",
"Cowley County, dba: Cowley County Public Transportation","Winfield","KS","70235","Private-Non-Profit Corporation","Rural Reporter","2024",,,,"5","0","0","41429","41429",
"Harvey County, dba: Harvey Interurban Transportation","Newton","KS","70238","City, County or Local Government Unit or Department of Transportation","Rural Reporter","2024",,,,"5","0","0","40338","40338",
"Regional Transit Authority, dba: Rides","Spencer","IA","70240","Private-Non-Profit Corporation","Rural Reporter","2024",,,,"58","0","0","550113","550113",
"City of Russell, dba: The Russell Ride","Russell","KS","70241","City, County or Local Government Unit or Department of Transportation","Rural Reporter","2024",,,,"2","0","0","16097","16097",
"10-15 Regional Transit Agency, dba: 10-15 Transit","Ottumwa","IA","70242","Independent Public Agency or Authority of Transit Service","Rural Reporter","2024",,,,"93","0","0","1303600","1303600",
"City of Benkelman","Benkelman","NE","70244","City, County or Local Government Unit or Department of Transportation","Rural Reporter","2024",,,,"1","0","0","6852","6852",
"Community Senior Service Center, dba: Community Senior Service Center Transportation","Osawatomie","KS","70245","Private-Non-Profit Corporation","Rural Reporter","2024",,,,"3","0","0","13288","13288",
"Seward County Public Transit","Seward","NE","70246","City, County or Local Government Unit or Department of Transportation","Rural Reporter","2024",,,,"4","0","0","64092","64092",
"City of Crawford, dba: Crawford Public Transportation","Crawford","NE","70247","City, County or Local Government Unit or Department of Transportation","Rural Reporter","2024",,,,"2","0","0","13125","13125",
"Lyon County, dba: Lyon County Transportation","Emporia","KS","70248","City, County or Local Government Unit or Department of Transportation","Rural Reporter","2024",,,,"9","0","0","164536","164536",
"Clay County Task Force","Clay Center","KS","70250","City, County or Local Government Unit or Department of Transportation","Rural Reporter","2024",,,,"3","0","0","35200","35200",
"The Guidance Center","Leavenworth","KS","70251","Private-Non-Profit Corporation","Rural Reporter","2024",,,,"5","0","0","55141","55141",
"Saunders County Transportation","Wahoo","NE","70253","City, County or Local Government Unit or Department of Transportation","Rural Reporter","2024",,,,"1","0","0","16040","16040",
"Solomon Valley, dba: Solomon Valley Transportation","Beloit","KS","70255","Private-Non-Profit Corporation","Rural Reporter","2024",,,,"7","0","0","65210","65210",
"Mid Iowa Development Association Council of Governments, dba: MIDAS Council of Governments","Fort Dodge","IA","70256","MPO, COG or Other Planning Agency","Rural Reporter","2024",,,,"14","0","0","0","0",
"Macon Area Chamber of Commerce","Macon","MO","70257","Private-Non-Profit Corporation","Rural Reporter","2024",,,,"1","0","0","6953","6953",
"Southwest Iowa Planning Council, dba: Southwest Iowa Transit Agency","Atlantic","IA","70258","Independent Public Agency or Authority of Transit Service","Rural Reporter","2024",,,,"73","0","0","904565","904565",
"Futures Unlimited, dba: Wellington Area Local Transit","Wellington","KS","70259","Private-Non-Profit Corporation","Rural Reporter","2024",,,,"3","0","0","47305","47305",
"City of Mason City, dba: Mason City Transit","Mason City","IA","70260","City, County or Local Government Unit or Department of Transportation","Rural Reporter","2024",,,,"12","0","0","249098","249098",
"SERVE, Inc.","Fulton","MO","70263","Private-Non-Profit Corporation","Rural Reporter","2024",,,,"12","0","0","44319","44319",
"City of Chadron","Chadron","NE","70265","City, County or Local Government Unit or Department of Transportation","Rural Reporter","2024",,,,"3","0","0","28281","28281",
"City of Kingman, dba: Kingman General Public Transportation","Kingman","KS","70266","City, County or Local Government Unit or Department of Transportation","Rural Reporter","2024",,,,"2","0","0","21414","21414",
"Project Concern, dba: Project Concern Public Transportation","Atchison","KS","70267","Private-Non-Profit Corporation","Rural Reporter","2024",,,,"2","0","0","21763","21763",
"Gove County, dba: Gove County Public Transportation","Quinter","KS","70268","Private-Non-Profit Corporation","Rural Reporter","2024",,,,"2","0","0","10717","10717",
"Kansas City, City of Missouri, dba: Kansas City Streetcar","Kansas City","MO","70271","City, County or Local Government Unit or Department of Transportation","Full Reporter","2024","43912","Kansas City, MO--KS","1674218","4","0","431797","0","431797",
"Sac and Fox Nation of Missouri, dba: General Public Transportation","Hiawatha","KS","70273","Tribe","Reduced Reporter","2024","00020","Kansas Non-UZA","1388420","3","0","0","0","0",
"City of Grand Island, dba: Central Ride Agency of Nebraska","Grand Island","NE","70274","City, County or Local Government Unit or Department of Transportation","Reduced Reporter","2024","34246","Grand Island, NE","55099","15","0","0","122507","122507",
"Nebraska Department of Transportation","Lincoln","NE","70275","State Government Unit or Department of Transportation","Full Reporter","2024","65269","Omaha, NE--IA","819508","28","0","1530","0","1530",
"Linn County, dba: LIFTS","Cedar Rapids","IA","70277","City, County or Local Government Unit or Department of Transportation","Reduced Reporter","2024","14752","Cedar Rapids, IA","192844","20","0","0","0","0",
"Ponca Tribe of Nebraska, dba: Ponca Express","Niobrara","NE","77063","Tribe","Reduced Reporter","2024","00031","Nebraska Non-UZA","846992","16","0","0","0","0",
"Santee Sioux Nation","Niobrara","NE","77069","Tribe","Reduced Reporter","2024","00031","Nebraska Non-UZA","846992","1","0","0","0","0",
"Prairie Band Potawatomi Nation, dba: PBPN General Public Transportation","Mayetta","KS","77075","Tribe","Reduced Reporter","2024","00020","Kansas Non-UZA","1388420","8","0","0","0","0",
"Rawlins County, dba: Rawlins County Public Transportation","Atwood","KS","77076","City, County or Local Government Unit or Department of Transportation","Rural Reporter","2024",,,,"1","0","0","9169","9169",
"Omaha Tribe of Nebraska, dba: Omaha Tribe Public Transit","Macy","NE","77077","Tribe","Reduced Reporter","2024","00031","Nebraska Non-UZA","846992","7","0","0","0","0",
"Garden County, dba: Garden County Public Transit","Oshkosh","NE","77078","City, County or Local Government Unit or Department of Transportation","Rural Reporter","2024",,,,"4","0","0","63851","63851",
"Northeast Kansas Area Agency on Aging, dba: NEKAAA General Public Transportation","Hiawatha","KS","77079","Private-Non-Profit Corporation","Rural Reporter","2024",,,,"7","0","0","135136","135136",
"Cheyenne County, dba: Cheyenne County Public Transportation","St Francis","KS","77082","City, County or Local Government Unit or Department of Transportation","Rural Reporter","2024",,,,"1","0","0","8235","8235",
"Multi Community Diversified Services, Inc.","Mcpherson","KS","77083","Private-Non-Profit Corporation","Rural Reporter","2024",,,,"5","0","0","39663","39663",
"Nance Trans","Fullerton","NE","77085","Private-Non-Profit Corporation","Rural Reporter","2024",,,,"3","0","0","37623","37623",
"New Bourbon Regional Port Authority","Perryville","MO","77086","City, County or Local Government Unit or Department of Transportation","Rural Reporter","2024",,,,"1","0","0","0","0",
"Callaway District Hospital, dba: Callaway District Hospital Public Transportation","Callaway","NE","77087","Other Publicly-Owned or Privately Chartered Corporation","Rural Reporter","2024",,,,"3","0","0","20431","20431",
"Jones County, dba: Jones County Jets","Anamosa","IA","77089","City, County or Local Government Unit or Department of Transportation","Rural Reporter","2024",,,,"9","0","0","0","0",
"Benton County, dba: Benton County Transportation","Vinton","IA","77090","City, County or Local Government Unit or Department of Transportation","Rural Reporter","2024",,,,"11","0","0","0","0",
"Washington County, dba: Washington County Mini Bus","Washington","IA","77091","City, County or Local Government Unit or Department of Transportation","Rural Reporter","2024",,,,"14","0","0","319862","319862",
"Iowa County, dba: Iowa County Transportation","Marengo","IA","77092","City, County or Local Government Unit or Department of Transportation","Rural Reporter","2024",,,,"9","0","0","0","0",
"St. Francis Services, LLC, dba: JOYRIDE Public Transit","West Point","NE","77093","Private-Non-Profit Corporation","Rural Reporter","2024",,,,"3","0","0","33584","33584",
"Community Health Center of Southeast Kansas Inc, dba: CareVan","Pittsburg","KS","77094","Private-Non-Profit Corporation","Rural Reporter","2024",,,,"10","0","0","26400","26400",
"Utah Transit Authority","Salt Lake City","UT","80001","Independent Public Agency or Authority of Transit Service","Full Reporter","2024","78499","Salt Lake City, UT","1178533","1054","94500","0","0","94500",
"City of Sioux Falls, dba: Sioux Area Metro","Sioux Falls","SD","80002","City, County or Local Government Unit or Department of Transportation","Full Reporter","2024","82252","Sioux Falls, SD","194283","36","0","92289","0","92289",
"City of Fargo, dba: Metropolitan Area Transit","Fargo","ND","80003","City, County or Local Government Unit or Department of Transportation","Full Reporter","2024","29089","Fargo, ND--MN","216214","40","659190","573091","0","1232281",
"City of Billings, dba: Billings Metropolitan Transit System","Billings","MT","80004","City, County or Local Government Unit or Department of Transportation","Full Reporter","2024","07705","Billings, MT","128787","27","723316","250661","0","973977",
"City of Colorado Springs, dba: Mountain Metropolitan Transit","Colorado Springs","CO","80005","City, County or Local Government Unit or Department of Transportation","Full Reporter","2024","18856","Colorado Springs, CO","632494","103","0","4586983","0","4586983",
"Denver Regional Transportation District, dba: RTD-Denver","Denver","CO","80006","Independent Public Agency or Authority of Transit Service","Full Reporter","2024","23527","Denver--Aurora, CO","2686147","1011","6239837","0","0","6239837",
"City of Pueblo, dba: Pueblo Transit","Pueblo","CO","80007","City, County or Local Government Unit or Department of Transportation","Full Reporter","2024","72613","Pueblo, CO","120642","26","462213","0","0","462213",
"City of Grand Forks","Grand Forks","ND","80008","City, County or Local Government Unit or Department of Transportation","Full Reporter","2024","34219","Grand Forks, ND--MN","68160","24","0","263579","0","263579",
"Missoula Urban Transportation District, dba: Mountain Line","Missoula","MT","80009","Independent Public Agency or Authority of Transit Service","Full Reporter","2024","57736","Missoula, MT","88109","37","0","333271","0","333271",
"Greeley, City Of, dba: Greeley Evans Transit","Greeley","CO","80010","City, County or Local Government Unit or Department of Transportation","Reduced Reporter","2024","34786","Greeley, CO","137222","30","0","0","0","0",
"City of Fort Collins, dba: Transfort","Fort Collins","CO","80011","City, County or Local Government Unit or Department of Transportation","Full Reporter","2024","30628","Fort Collins, CO","326332","47","0","1352000","0","1352000",
